date,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedDate,debt_to_equity,current_ratio,return_on_equity
2016-03-31,0.375,0.398,-0.023,-5.7789,2016-04-21,0.21184925021647824,5.1433499208323905,0.03404575581254198
2016-06-30,0.421,0.4015,0.0195,4.8568,2016-07-28,0.20654681378490605,5.434404013609365,0.03813761446367269
2016-09-30,0.453,0.432,0.021,4.8611,2016-10-27,0.19272499496655557,6.880262514836278,0.037739647882597704
2016-12-31,0.468,0.4835,-0.0155,-3.2058,2017-01-26,0.20470237923990908,6.290761518262115,0.038356972294945196
2017-03-31,0.3865,0.3695,0.017,4.6008,2017-04-27,0.1918398885125113,7.1312270582066075,0.037433856045919596
2017-06-30,0.2505,0.2235,0.027,12.0805,2017-07-24,0.2045708967805457,6.014771206850415,0.023764886772857857
2017-09-30,0.4785,0.4165,0.062,14.886,2017-10-26,0.20646721833227244,5.7674092688348715,0.04285168682367919
2017-12-31,0.485,0.498,-0.013,-2.6104,2018-02-01,0.2937207380886808,5.140305173055452,-0.019803018976800306
2018-03-31,0.6665,0.466,0.2005,43.0258,2018-04-23,0.2867091559148142,4.873631566511775,0.05845484221980413
2018-06-30,0.227,0.477,-0.25,-52.4109,2018-07-23,0.30623456790123454,4.151991438986055,0.01972222222222222
2018-09-30,0.653,0.52,0.133,25.5769,2018-10-25,0.30439236928874236,4.143701479185968,0.05412152614225153
2018-12-31,0.6385,0.541,0.0975,18.0222,2019-02-04,0.3105591460805729,3.919006354708261,0.05037494088769789
2019-03-31,0.475,0.5315,-0.0565,-10.6303,2019-04-29,0.3372558210517136,3.958951589802349,0.03628346559693032
2019-06-30,0.7105,0.5665,0.144,25.4192,2019-07-25,0.33772997835497837,3.984783783783784,0.05175553613053613
2019-09-30,0.506,0.623,-0.117,-18.7801,2019-10-28,0.34915807128312704,3.7823271466449113,0.03625191697141597
2019-12-31,0.7675,0.6295,0.138,21.9222,2020-02-03,0.369669681595695,3.374051878552,0.052973064207067044
2020-03-31,0.4935,0.519,-0.0255,-4.9133,2020-04-28,0.34245478962383197,3.658165169573764,0.03356591164642859
2020-06-30,0.51,0.42,0.09,21.4286,2020-07-30,0.34328243022930516,3.4144715745109715,0.03356614348694301
2020-09-30,0.82,0.56,0.26,46.4286,2020-10-29,0.40542457260943077,3.4101452282157676,0.05282265639676874
2020-12-31,1.12,0.8,0.32,40.0,2021-02-02,0.436192393414336,3.0667558151810534,0.06842242432957078
2021-03-31,1.31,0.79,0.52,65.8228,2021-04-27,0.4220717959419685,3.104196346455557,0.07795211574997934
2021-06-30,1.36,0.96,0.4,41.6667,2021-07-27,0.41176941047713256,3.152024542078542,0.07797865847241807
2021-09-30,1.4,1.17,0.23,19.6581,2021-10-26,0.4204819129318346,2.9799941730601147,0.07742663564585574
2021-12-31,1.53,1.38,0.15,10.8696,2022-02-01,0.4277346156138852,2.928113424845146,0.08203151389909989
2022-03-31,1.23,1.29,-0.06,-4.6512,2022-04-26,0.4058676241319034,2.871004713630787,0.0647076423993323
2022-06-30,1.21,1.3,-0.09,-6.9231,2022-07-26,0.3905974105293655,2.809450076604622,0.06264999862970257
2022-09-30,1.06,1.25,-0.19,-15.2,2022-10-25,0.412532626781166,2.517604086148623,0.0548445348662992
2022-12-31,1.05,1.19,-0.14,-11.7647,2023-02-02,0.42601036916734336,2.377994227994228,0.05318883128240365
2023-03-31,1.17,1.06,0.11,10.3774,2023-04-25,0.4162495112957753,2.35258663258489,0.05769009636097419
2023-06-30,1.44,1.34,0.1,7.4627,2023-07-25,0.43386451349661787,2.1720521432523903,0.06875769724602364
2023-09-30,1.55,1.45,0.1,6.8966,2023-10-23,0.45207941376710276,2.0431079436815573,0.07206755441028982
2023-12-31,1.64,1.59,0.05,3.1447,2024-01-30,0.41997819175027085,2.096584936563424,0.07300117510471842
2024-03-31,1.89,1.51,0.38,25.1656,2024-04-25,0.39101364549043177,2.149057755496967,0.08080069934845857
2024-06-30,1.89,1.85,0.04,2.1622,2024-07-23,0.3791051128334547,2.079178057577041,0.07853288246501282
