date,META_sentiment_score,META_relevance_score
2024-08-04,0.03415200653594772,0.08724399999999999
2024-08-05,0.1065480361237567,0.12943224561403507
2024-08-06,0.21647709345514146,0.12413857142857143
2024-08-07,0.19066873907861545,0.10971990384615384
2024-08-08,0.059341120796505845,0.076973
2024-08-09,0.12418557895726906,0.09438597959183674
2024-08-10,0.01971889295086826,0.09567135714285714
2024-08-11,0.11851967920163817,0.09493440000000002
2024-08-12,0.18544381355219075,0.11378541666666665
2024-08-13,0.22959704546171486,0.11256620754716982
2024-08-14,0.12005419717309196,0.10823327586206896
2024-08-15,0.005265842128556264,0.10589687999999998
2024-08-16,0.14499640552232773,0.1606675909090909
2024-08-17,0.01125786269312363,0.07557766666666667
2024-08-18,0.02261430811355881,0.06892243749999999
2024-08-19,0.11973160260645084,0.08986868085106384
