date,NFLX_sentiment_score,NFLX_relevance_score
2024-06-26,0.17609253368500927,0.03646033333333333
2024-06-27,0.23030082488795972,0.18714576190476193
2024-06-28,0.13464211283068922,0.16487304347826087
2024-06-29,0.09295709827626338,0.14060363636363638
2024-06-30,0.11481318150838327,0.1552328666666667
2024-07-01,-0.043831836488030414,0.2039368461538462
2024-07-02,0.14327969069558377,0.20940324999999999
2024-07-03,0.11652174358057571,0.23982875000000003
2024-07-04,0.12356882390398437,0.24194588235294118
2024-07-05,0.09333360373734663,0.164383
2024-07-06,-0.04006394211546959,0.20389673333333336
2024-07-07,0.1676532635046262,0.22827208333333338
2024-07-08,0.08228691873170063,0.1561764230769231
2024-07-09,0.20764308111356436,0.1720219375
2024-07-10,0.026123703341399504,0.14524175000000003
2024-07-11,0.15930850598149912,0.12362192592592594
2024-07-12,0.21796786896395778,0.22533785714285715
2024-07-13,0.05081551718669735,0.12405736363636365
2024-07-14,0.1037041416961691,0.1650744117647059
2024-07-15,0.2559233362009618,0.18738241176470588
2024-07-16,0.26189928854815814,0.2634563636363637
2024-07-17,0.2874291814278992,0.25613445161290327
2024-07-18,0.17018160576938599,0.24543473076923078
2024-07-19,0.29764828724352477,0.4191160000000001
2024-07-20,0.534803737150091,0.2563345
2024-07-21,0.36918055950438416,0.30724066666666666
2024-07-22,0.26416972904301395,0.26523375000000005
2024-07-23,0.33006272857411495,0.29001853846153847
2024-07-24,0.4559713071712696,0.30239714285714286
2024-07-25,-0.0015855246480507993,0.24234675
2024-07-26,0.20494820636955052,0.12873749999999998
2024-07-28,0.052980411822414274,0.058781
2024-07-29,0.28543550408939455,0.27641185714285715
2024-07-30,0.028290307782702133,0.2990692222222222
2024-07-31,0.08324836506817947,0.1780369230769231
2024-08-01,0.21093508472686434,0.31248058333333334
2024-08-02,0.07197108488864148,0.1194565
2024-08-03,0.45188784266528165,0.6315580000000001
2024-08-04,0.214076,0.045396
2024-08-05,0.13419299924716327,0.14971942857142856
2024-08-06,0.23239726503303382,0.1275358
2024-08-07,0.1403780826118682,0.152121
2024-08-08,0.20301230562209963,0.1350167777777778
2024-08-09,0.09852065606545235,0.21748509090909088
2024-08-10,0.0719068337010136,0.08215924999999999
2024-08-11,0.4575120948448414,0.41549966666666666
2024-08-12,0.0995011997063158,0.18748030000000002
2024-08-13,0.3538517509862248,0.2829660909090909
2024-08-14,0.2544393327521417,0.18161916666666664
2024-08-15,0.20217726466002908,0.15052266666666667
2024-08-16,0.24720055102297744,0.40113299999999996
2024-08-17,0.1166514657119251,0.065358
2024-08-18,0.08922192865709469,0.058922
2024-08-19,0.29098472722565527,0.22306239999999997
