date,sentiment_score,relevance_score
2024-08-03,0.1829055616506618,0.21907374999999998
2024-08-04,0.1728836606921638,0.23449650000000002
2024-08-05,0.09051584767968182,0.2998826153846154
2024-08-06,0.08134526295590781,0.21026587931034482
2024-08-07,0.1573493766230095,0.21031496363636365
2024-08-08,0.18326241199399212,0.18547040816326532
2024-08-09,0.1975192707273064,0.18263554285714284
2024-08-10,0.21250907406013142,0.31876530000000003
2024-08-11,0.19790174434400318,0.20466477777777778
2024-08-12,0.1558270655306755,0.20126517021276594
2024-08-13,0.24458743810389144,0.26949502272727277
2024-08-14,0.20242422780326758,0.20139845000000003
2024-08-15,0.18850594104845786,0.24504306666666664
2024-08-16,0.25369660224842566,0.2775548974358974
2024-08-17,0.10907124121425377,0.21570450000000002
2024-08-18,0.17950417661558252,0.25007926315789475
2024-08-19,0.2689689282456766,0.2076580606060606
2024-08-20,0.260875573036177,0.2070159636363636
2024-08-21,0.238645353346691,0.25626346153846147
2024-08-22,0.09798366424184053,0.09760150000000001
