date,AAPL_sentiment_score,AAPL_relevance_score
2024-07-10,0.3213631968896938,0.3236612857142857
2024-07-11,0.14858815244077395,0.33446730303030303
2024-07-12,0.30630601180933,0.20677295
2024-07-13,0.25777095504490877,0.270033375
2024-07-14,0.21037342391936745,0.3116161
2024-07-15,0.2135429477405926,0.23500764
2024-07-16,0.22716675986767657,0.30755810714285714
2024-07-17,0.17758000141277547,0.2318368
2024-07-18,0.22670625341513828,0.22296254166666665
2024-07-19,0.21689871867177551,0.273524409090909
2024-07-20,0.19433218725738302,0.091279
2024-07-21,0.32157679807327727,0.4924424285714286
2024-07-22,0.2767108201820513,0.3100116
2024-07-23,0.23381752045856702,0.2806351428571428
2024-07-24,0.2016576820240925,0.3203637777777778
2024-07-25,0.13322494902413287,0.22209136666666665
2024-07-26,0.13830574230140702,0.22556383870967742
2024-07-27,0.21271521431357296,0.30853
2024-07-28,0.26554153742527914,0.4485396666666666
2024-07-29,0.10185987986000672,0.26338541463414633
2024-07-30,0.25197628023907204,0.27725434375
2024-07-31,0.16683527932475897,0.2653776153846154
2024-08-01,0.30440789184668576,0.3402481428571429
2024-08-02,0.26084337331822455,0.36184703030303034
2024-08-03,0.34081405050984726,0.450345
2024-08-04,0.22315648702384505,0.2775561111111111
2024-08-05,0.17655060587117832,0.40914308000000005
2024-08-06,0.08817138997874467,0.35762984615384613
2024-08-07,0.21005432660989398,0.24125738095238097
2024-08-08,0.09591315955106836,0.309151076923077
2024-08-09,0.0828995590192552,0.1932001052631579
2024-08-10,0.2741467995568376,0.3932342222222222
2024-08-11,0.2755837754787512,0.3445382307692308
