date,reportedEPS,estimatedEPS,surprise,surprisePercentage,ebit,ebitda,reportedDate
2024-03-31,2.94,2.82,0.12,4.2553,27527000000.0,29380000000.0,2024-04-25
2023-12-31,2.93,2.78,0.15,5.3957,27435000000.0,29143000000.0,2024-01-30
2023-09-30,2.99,2.65,0.34,12.8302,27809000000.0,28825000000.0,2023-10-24
2023-06-30,2.69,2.55,0.14,5.4902,25209000000.0,26167000000.0,2023-07-25
2023-03-31,2.45,2.23,0.22,9.8655,23169000000.0,24129000000.0,2023-04-25
2022-12-31,2.32,2.29,0.03,1.31,20829000000.0,21918000000.0,2023-01-24
2022-09-30,2.35,2.3,0.05,2.1739,22072000000.0,22894000000.0,2022-10-25
2022-06-30,2.23,2.29,-0.06,-2.6201,20983000000.0,21784000000.0,2022-07-26
2022-03-31,2.22,2.19,0.03,1.3699,20693000000.0,21484000000.0,2022-04-26
2021-12-31,2.48,2.31,0.17,7.3593,23040000000.0,23750000000.0,2022-01-25
2021-09-30,2.27,2.07,0.2,9.6618,21063000000.0,21728000000.0,2021-10-26
2021-06-30,2.17,1.92,0.25,13.0208,19958000000.0,20613000000.0,2021-07-27
2021-03-31,1.95,1.78,0.17,9.5506,17869000000.0,18485000000.0,2021-04-27
2020-12-31,2.03,1.64,0.39,23.7805,18908000000.0,19535000000.0,2021-01-26
2020-09-30,1.82,1.54,0.28,18.1818,16713000000.0,17302000000.0,2020-10-27
2020-06-30,1.46,1.34,0.12,8.9552,14108000000.0,14696000000.0,2020-07-22
2020-03-31,1.4,1.26,0.14,11.1111,13457000000.0,13948000000.0,2020-04-29
2019-12-31,1.51,1.32,0.19,14.3939,14739000000.0,15313000000.0,2020-01-29
2019-09-30,1.38,1.25,0.13,10.4,13323000000.0,13882000000.0,2019-10-23
2019-06-30,1.37,1.21,0.16,13.2231,13265000000.0,13665000000.0,2019-07-18
2019-03-31,1.14,1.0,0.14,14.0,11157000000.0,11588000000.0,2019-04-24
2018-12-31,1.1,1.09,0.01,0.9174,11057000000.0,11587000000.0,2019-01-30
2018-09-30,1.14,0.96,0.18,18.75,10895000000.0,11451000000.0,2018-10-24
2018-06-30,1.13,1.08,0.05,4.6296,11352000000.0,11852000000.0,2018-07-19
2018-03-31,0.95,0.85,0.1,11.7647,9332000000.0,9892000000.0,2018-04-26
2017-12-31,0.96,0.86,0.1,11.6279,9867000000.0,10429000000.0,2018-01-31
2017-09-30,0.84,0.72,0.12,16.6667,8656000000.0,9219000000.0,2017-10-26
2017-06-30,0.98,0.71,0.27,38.0282,8613000000.0,9213000000.0,2017-07-20
2017-03-31,0.73,0.7,0.03,4.2857,7703000000.0,8263000000.0,2017-04-27
2016-12-31,0.84,0.79,0.05,6.3291,8543000000.0,8858000000.0,2017-01-26
2016-09-30,0.76,0.68,0.08,11.7647,7264000000.0,7478000000.0,2016-10-20
2016-06-30,0.69,0.58,0.11,18.9655,5839000000.0,6077000000.0,2016-07-19
2016-03-31,0.62,0.64,-0.02,-3.125,5376000000.0,5625000000.0,2016-04-21
2015-12-31,0.78,0.71,0.07,9.8592,6164000000.0,6413000000.0,2016-01-28
2015-09-30,0.67,0.59,0.08,13.5593,5762000000.0,6004000000.0,2015-10-22
2015-06-30,0.6,0.56,0.04,7.1429,-1509000000.0,-1309000000.0,2015-07-21
2015-03-31,0.61,0.51,0.1,19.6078,6728000000.0,7089000000.0,2015-04-23
2014-12-31,0.75,0.71,0.04,5.6338,8012000000.0,8341000000.0,2015-01-26
2014-09-30,0.54,0.49,0.05,10.2041,6057000000.0,6429000000.0,2014-10-23
2014-06-30,0.55,0.6,-0.05,-8.3333,6746000000.0,7093000000.0,2014-07-22
2014-03-31,0.68,0.63,0.05,7.9365,7132000000.0,7302000000.0,2014-04-24
